,1,2,3,4,5,6,7,8,9
160,0,0,0,0,0,0,0,1,1
161,0,0,0,0,0,0,0,0,1
162,1,0,0,0,0,0,0,0,0
163,1,1,0,0,0,0,0,0,0
164,1,0,1,0,0,0,0,0,0
165,1,0,0,1,0,0,0,0,0
166,1,0,0,0,1,0,0,0,0
167,1,0,0,0,0,1,0,0,0
168,1,0,0,0,0,0,1,0,0
169,1,0,0,0,0,0,0,1,0
170,1,0,0,0,0,0,0,0,1
171,1,1,0,0,0,0,0,0,0
172,0,1,0,0,0,0,0,0,0
173,0,1,1,0,0,0,0,0,0
174,0,1,0,1,0,0,0,0,0
175,0,1,0,0,1,0,0,0,0
176,0,1,0,0,0,1,0,0,0
177,0,1,0,0,0,0,1,0,0
178,0,1,0,0,0,0,0,1,0
179,0,1,0,0,0,0,0,0,1
180,1,0,1,0,0,0,0,0,0
181,0,1,1,0,0,0,0,0,0
182,0,0,1,0,0,0,0,0,0
183,0,0,1,1,0,0,0,0,0
184,0,0,1,0,1,0,0,0,0
185,0,0,1,0,0,1,0,0,0
186,0,0,1,0,0,0,1,0,0
187,0,0,1,0,0,0,0,1,0
188,0,0,1,0,0,0,0,0,1
189,1,0,0,1,0,0,0,0,0
190,0,1,0,1,0,0,0,0,0
191,0,0,1,1,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0
193,0,0,0,1,1,0,0,0,0
194,0,0,0,1,0,1,0,0,0
195,0,0,0,1,0,0,1,0,0
196,0,0,0,1,0,0,0,1,0
197,0,0,0,1,0,0,0,0,1
198,1,0,0,0,1,0,0,0,0
199,0,1,0,0,1,0,0,0,0
200,0,0,1,0,1,0,0,0,0
201,0,0,0,1,1,0,0,0,0
202,0,0,0,0,1,0,0,0,0
203,0,0,0,0,1,1,0,0,0
204,0,0,0,0,1,0,1,0,0
205,0,0,0,0,1,0,0,1,0
206,0,0,0,0,1,0,0,0,1
207,1,0,0,0,0,1,0,0,0
208,0,1,0,0,0,1,0,0,0
209,0,0,1,0,0,1,0,0,0
210,0,0,0,1,0,1,0,0,0
211,0,0,0,0,1,1,0,0,0
212,0,0,0,0,0,1,0,0,0
213,0,0,0,0,0,1,1,0,0
214,0,0,0,0,0,1,0,1,0
215,0,0,0,0,0,1,0,0,1
216,1,0,0,0,0,0,1,0,0
217,0,1,0,0,0,0,1,0,0
218,0,0,1,0,0,0,1,0,0
219,0,0,0,1,0,0,1,0,0
220,0,0,0,0,1,0,1,0,0
221,0,0,0,0,0,1,1,0,0
222,0,0,0,0,0,0,1,0,0
223,0,0,0,0,0,0,1,1,0
224,0,0,0,0,0,0,1,0,1
225,1,0,0,0,0,0,0,1,0
226,0,1,0,0,0,0,0,1,0
227,0,0,1,0,0,0,0,1,0
228,0,0,0,1,0,0,0,1,0
229,0,0,0,0,1,0,0,1,0
230,0,0,0,0,0,1,0,1,0
231,0,0,0,0,0,0,1,1,0
232,0,0,0,0,0,0,0,1,0
233,0,0,0,0,0,0,0,1,1
234,1,0,0,0,0,0,0,0,1
235,0,1,0,0,0,0,0,0,1
236,0,0,1,0,0,0,0,0,1
237,0,0,0,1,0,0,0,0,1
238,0,0,0,0,1,0,0,0,1
239,0,0,0,0,0,1,0,0,1
240,0,0,0,0,0,0,1,0,1
241,0,0,0,0,0,0,0,1,1
242,0,0,0,0,0,0,0,0,1
243,1,0,0,0,0,0,0,0,0
244,1,1,0,0,0,0,0,0,0
245,1,0,1,0,0,0,0,0,0
246,1,0,0,1,0,0,0,0,0
247,1,0,0,0,1,0,0,0,0
248,1,0,0,0,0,1,0,0,0
249,1,0,0,0,0,0,1,0,0
250,1,0,0,0,0,0,0,1,0
251,1,0,0,0,0,0,0,0,1
252,1,1,0,0,0,0,0,0,0
253,0,1,0,0,0,0,0,0,0
254,0,1,1,0,0,0,0,0,0
255,0,1,0,1,0,0,0,0,0
256,0,1,0,0,1,0,0,0,0
257,0,1,0,0,0,1,0,0,0
258,0,1,0,0,0,0,1,0,0
259,0,1,0,0,0,0,0,1,0
260,0,1,0,0,0,0,0,0,1
261,1,0,1,0,0,0,0,0,0
262,0,1,1,0,0,0,0,0,0
263,0,0,1,0,0,0,0,0,0
264,0,0,1,1,0,0,0,0,0
265,0,0,1,0,1,0,0,0,0
266,0,0,1,0,0,1,0,0,0
267,0,0,1,0,0,0,1,0,0
268,0,0,1,0,0,0,0,1,0
269,0,0,1,0,0,0,0,0,1
270,1,0,0,1,0,0,0,0,0
271,0,1,0,1,0,0,0,0,0
272,0,0,1,1,0,0,0,0,0
273,0,0,0,1,0,0,0,0,0
274,0,0,0,1,1,0,0,0,0
275,0,0,0,1,0,1,0,0,0
276,0,0,0,1,0,0,1,0,0
277,0,0,0,1,0,0,0,1,0
278,0,0,0,1,0,0,0,0,1
279,1,0,0,0,1,0,0,0,0
280,0,1,0,0,1,0,0,0,0
281,0,0,1,0,1,0,0,0,0
282,0,0,0,1,1,0,0,0,0
283,0,0,0,0,1,0,0,0,0
284,0,0,0,0,1,1,0,0,0
285,0,0,0,0,1,0,1,0,0
286,0,0,0,0,1,0,0,1,0
287,0,0,0,0,1,0,0,0,1
288,1,0,0,0,0,1,0,0,0
289,0,1,0,0,0,1,0,0,0
290,0,0,1,0,0,1,0,0,0
291,0,0,0,1,0,1,0,0,0
292,0,0,0,0,1,1,0,0,0
293,0,0,0,0,0,1,0,0,0
294,0,0,0,0,0,1,1,0,0
295,0,0,0,0,0,1,0,1,0
296,0,0,0,0,0,1,0,0,1
297,1,0,0,0,0,0,1,0,0
298,0,1,0,0,0,0,1,0,0
299,0,0,1,0,0,0,1,0,0
300,0,0,0,1,0,0,1,0,0
301,0,0,0,0,1,0,1,0,0
302,0,0,0,0,0,1,1,0,0
303,0,0,0,0,0,0,1,0,0
304,0,0,0,0,0,0,1,1,0
305,0,0,0,0,0,0,1,0,1
306,1,0,0,0,0,0,0,1,0
307,0,1,0,0,0,0,0,1,0
308,0,0,1,0,0,0,0,1,0
309,0,0,0,1,0,0,0,1,0
310,0,0,0,0,1,0,0,1,0
311,0,0,0,0,0,1,0,1,0
312,0,0,0,0,0,0,1,1,0
313,0,0,0,0,0,0,0,1,0
314,0,0,0,0,0,0,0,1,1
315,1,0,0,0,0,0,0,0,1
316,0,1,0,0,0,0,0,0,1
317,0,0,1,0,0,0,0,0,1
318,0,0,0,1,0,0,0,0,1
319,0,0,0,0,1,0,0,0,1
320,0,0,0,0,0,1,0,0,1
321,0,0,0,0,0,0,1,0,1
322,0,0,0,0,0,0,0,1,1
323,0,0,0,0,0,0,0,0,1
324,1,0,0,0,0,0,0,0,0
325,1,1,0,0,0,0,0,0,0
326,1,0,1,0,0,0,0,0,0
327,1,0,0,1,0,0,0,0,0
328,1,0,0,0,1,0,0,0,0
329,1,0,0,0,0,1,0,0,0
330,1,0,0,0,0,0,1,0,0
331,1,0,0,0,0,0,0,1,0
332,1,0,0,0,0,0,0,0,1
333,1,1,0,0,0,0,0,0,0
334,0,1,0,0,0,0,0,0,0
335,0,1,1,0,0,0,0,0,0
336,0,1,0,1,0,0,0,0,0
337,0,1,0,0,1,0,0,0,0
338,0,1,0,0,0,1,0,0,0
339,0,1,0,0,0,0,1,0,0
340,0,1,0,0,0,0,0,1,0
341,0,1,0,0,0,0,0,0,1
342,1,0,1,0,0,0,0,0,0
343,0,1,1,0,0,0,0,0,0
344,0,0,1,0,0,0,0,0,0
345,0,0,1,1,0,0,0,0,0
346,0,0,1,0,1,0,0,0,0
347,0,0,1,0,0,1,0,0,0
348,0,0,1,0,0,0,1,0,0
349,0,0,1,0,0,0,0,1,0
350,0,0,1,0,0,0,0,0,1
351,1,0,0,1,0,0,0,0,0
352,0,1,0,1,0,0,0,0,0
353,0,0,1,1,0,0,0,0,0
354,0,0,0,1,0,0,0,0,0
355,0,0,0,1,1,0,0,0,0
356,0,0,0,1,0,1,0,0,0
357,0,0,0,1,0,0,1,0,0
358,0,0,0,1,0,0,0,1,0
359,0,0,0,1,0,0,0,0,1
360,1,0,0,0,1,0,0,0,0
361,0,1,0,0,1,0,0,0,0
362,0,0,1,0,1,0,0,0,0
363,0,0,0,1,1,0,0,0,0
364,0,0,0,0,1,0,0,0,0
365,0,0,0,0,1,1,0,0,0
366,0,0,0,0,1,0,1,0,0
367,0,0,0,0,1,0,0,1,0
368,0,0,0,0,1,0,0,0,1
369,1,0,0,0,0,1,0,0,0
370,0,1,0,0,0,1,0,0,0
371,0,0,1,0,0,1,0,0,0
372,0,0,0,1,0,1,0,0,0
373,0,0,0,0,1,1,0,0,0
374,0,0,0,0,0,1,0,0,0
375,0,0,0,0,0,1,1,0,0
376,0,0,0,0,0,1,0,1,0
377,0,0,0,0,0,1,0,0,1
378,1,0,0,0,0,0,1,0,0
379,0,1,0,0,0,0,1,0,0
380,0,0,1,0,0,0,1,0,0
381,0,0,0,1,0,0,1,0,0
382,0,0,0,0,1,0,1,0,0
383,0,0,0,0,0,1,1,0,0
384,0,0,0,0,0,0,1,0,0
385,0,0,0,0,0,0,1,1,0
386,0,0,0,0,0,0,1,0,1
387,1,0,0,0,0,0,0,1,0
388,0,1,0,0,0,0,0,1,0
389,0,0,1,0,0,0,0,1,0
390,0,0,0,1,0,0,0,1,0
391,0,0,0,0,1,0,0,1,0
392,0,0,0,0,0,1,0,1,0
393,0,0,0,0,0,0,1,1,0
394,0,0,0,0,0,0,0,1,0
395,0,0,0,0,0,0,0,1,1
396,1,0,0,0,0,0,0,0,1
397,0,1,0,0,0,0,0,0,1
398,0,0,1,0,0,0,0,0,1
399,0,0,0,1,0,0,0,0,1
400,0,0,0,0,1,0,0,0,1
401,0,0,0,0,0,1,0,0,1
402,0,0,0,0,0,0,1,0,1
403,0,0,0,0,0,0,0,1,1
404,0,0,0,0,0,0,0,0,1
405,1,0,0,0,0,0,0,0,0
406,1,1,0,0,0,0,0,0,0
407,1,0,1,0,0,0,0,0,0
408,1,0,0,1,0,0,0,0,0
409,1,0,0,0,1,0,0,0,0
410,1,0,0,0,0,1,0,0,0
411,1,0,0,0,0,0,1,0,0
412,1,0,0,0,0,0,0,1,0
413,1,0,0,0,0,0,0,0,1
414,1,1,0,0,0,0,0,0,0
415,0,1,0,0,0,0,0,0,0
416,0,1,1,0,0,0,0,0,0
417,0,1,0,1,0,0,0,0,0
418,0,1,0,0,1,0,0,0,0
419,0,1,0,0,0,1,0,0,0
420,0,1,0,0,0,0,1,0,0
421,0,1,0,0,0,0,0,1,0
422,0,1,0,0,0,0,0,0,1
423,1,0,1,0,0,0,0,0,0
424,0,1,1,0,0,0,0,0,0
425,0,0,1,0,0,0,0,0,0
426,0,0,1,1,0,0,0,0,0
427,0,0,1,0,1,0,0,0,0
428,0,0,1,0,0,1,0,0,0
429,0,0,1,0,0,0,1,0,0
430,0,0,1,0,0,0,0,1,0
431,0,0,1,0,0,0,0,0,1
432,1,0,0,1,0,0,0,0,0
433,0,1,0,1,0,0,0,0,0
434,0,0,1,1,0,0,0,0,0
435,0,0,0,1,0,0,0,0,0
436,0,0,0,1,1,0,0,0,0
437,0,0,0,1,0,1,0,0,0
438,0,0,0,1,0,0,1,0,0
439,0,0,0,1,0,0,0,1,0
440,0,0,0,1,0,0,0,0,1
441,1,0,0,0,1,0,0,0,0
442,0,1,0,0,1,0,0,0,0
443,0,0,1,0,1,0,0,0,0
444,0,0,0,1,1,0,0,0,0
445,0,0,0,0,1,0,0,0,0
446,0,0,0,0,1,1,0,0,0
447,0,0,0,0,1,0,1,0,0
448,0,0,0,0,1,0,0,1,0
449,0,0,0,0,1,0,0,0,1
450,1,0,0,0,0,1,0,0,0
451,0,1,0,0,0,1,0,0,0
452,0,0,1,0,0,1,0,0,0
453,0,0,0,1,0,1,0,0,0
454,0,0,0,0,1,1,0,0,0
455,0,0,0,0,0,1,0,0,0
456,0,0,0,0,0,1,1,0,0
457,0,0,0,0,0,1,0,1,0
458,0,0,0,0,0,1,0,0,1
459,1,0,0,0,0,0,1,0,0
460,0,1,0,0,0,0,1,0,0
461,0,0,1,0,0,0,1,0,0
462,0,0,0,1,0,0,1,0,0
463,0,0,0,0,1,0,1,0,0
464,0,0,0,0,0,1,1,0,0
465,0,0,0,0,0,0,1,0,0
466,0,0,0,0,0,0,1,1,0
467,0,0,0,0,0,0,1,0,1
468,1,0,0,0,0,0,0,1,0
469,0,1,0,0,0,0,0,1,0
470,0,0,1,0,0,0,0,1,0
471,0,0,0,1,0,0,0,1,0
472,0,0,0,0,1,0,0,1,0
473,0,0,0,0,0,1,0,1,0
474,0,0,0,0,0,0,1,1,0
475,0,0,0,0,0,0,0,1,0
476,0,0,0,0,0,0,0,1,1
477,1,0,0,0,0,0,0,0,1
478,0,1,0,0,0,0,0,0,1
479,0,0,1,0,0,0,0,0,1
480,0,0,0,1,0,0,0,0,1
481,0,0,0,0,1,0,0,0,1
482,0,0,0,0,0,1,0,0,1
483,0,0,0,0,0,0,1,0,1
484,0,0,0,0,0,0,0,1,1
485,0,0,0,0,0,0,0,0,1
486,1,0,0,0,0,0,0,0,0
487,1,1,0,0,0,0,0,0,0
488,1,0,1,0,0,0,0,0,0
489,1,0,0,1,0,0,0,0,0
490,1,0,0,0,1,0,0,0,0
491,1,0,0,0,0,1,0,0,0
492,1,0,0,0,0,0,1,0,0
493,1,0,0,0,0,0,0,1,0
494,1,0,0,0,0,0,0,0,1
495,1,1,0,0,0,0,0,0,0
496,0,1,0,0,0,0,0,0,0
497,0,1,1,0,0,0,0,0,0
498,0,1,0,1,0,0,0,0,0
499,0,1,0,0,1,0,0,0,0
500,0,1,0,0,0,1,0,0,0
501,0,1,0,0,0,0,1,0,0
502,0,1,0,0,0,0,0,1,0
503,0,1,0,0,0,0,0,0,1
504,1,0,1,0,0,0,0,0,0
505,0,1,1,0,0,0,0,0,0
506,0,0,1,0,0,0,0,0,0
507,0,0,1,1,0,0,0,0,0
508,0,0,1,0,1,0,0,0,0
509,0,0,1,0,0,1,0,0,0
510,0,0,1,0,0,0,1,0,0
511,0,0,1,0,0,0,0,1,0
512,0,0,1,0,0,0,0,0,1
513,1,0,0,1,0,0,0,0,0
514,0,1,0,1,0,0,0,0,0
515,0,0,1,1,0,0,0,0,0
516,0,0,0,1,0,0,0,0,0
517,0,0,0,1,1,0,0,0,0
518,0,0,0,1,0,1,0,0,0
519,0,0,0,1,0,0,1,0,0
520,0,0,0,1,0,0,0,1,0
521,0,0,0,1,0,0,0,0,1
522,1,0,0,0,1,0,0,0,0
523,0,1,0,0,1,0,0,0,0
524,0,0,1,0,1,0,0,0,0
525,0,0,0,1,1,0,0,0,0
526,0,0,0,0,1,0,0,0,0
527,0,0,0,0,1,1,0,0,0
528,0,0,0,0,1,0,1,0,0
529,0,0,0,0,1,0,0,1,0
530,0,0,0,0,1,0,0,0,1
531,1,0,0,0,0,1,0,0,0
532,0,1,0,0,0,1,0,0,0
533,0,0,1,0,0,1,0,0,0
534,0,0,0,1,0,1,0,0,0
535,0,0,0,0,1,1,0,0,0
536,0,0,0,0,0,1,0,0,0
537,0,0,0,0,0,1,1,0,0
538,0,0,0,0,0,1,0,1,0
539,0,0,0,0,0,1,0,0,1
540,1,0,0,0,0,0,1,0,0
541,0,1,0,0,0,0,1,0,0
542,0,0,1,0,0,0,1,0,0
543,0,0,0,1,0,0,1,0,0
544,0,0,0,0,1,0,1,0,0
545,0,0,0,0,0,1,1,0,0
546,0,0,0,0,0,0,1,0,0
547,0,0,0,0,0,0,1,1,0
548,0,0,0,0,0,0,1,0,1
549,1,0,0,0,0,0,0,1,0
550,0,1,0,0,0,0,0,1,0
551,0,0,1,0,0,0,0,1,0
552,0,0,0,1,0,0,0,1,0
553,0,0,0,0,1,0,0,1,0
554,0,0,0,0,0,1,0,1,0
555,0,0,0,0,0,0,1,1,0
556,0,0,0,0,0,0,0,1,0
557,0,0,0,0,0,0,0,1,1
558,1,0,0,0,0,0,0,0,1
559,0,1,0,0,0,0,0,0,1
560,0,0,1,0,0,0,0,0,1
561,0,0,0,1,0,0,0,0,1
562,0,0,0,0,1,0,0,0,1
563,0,0,0,0,0,1,0,0,1
564,0,0,0,0,0,0,1,0,1
565,0,0,0,0,0,0,0,1,1
566,0,0,0,0,0,0,0,0,1
